,learning_slope,mean_accuracy,social_index,spatial_index,dominance_index
learning_slope,1.0,-0.049999999999999996,0.09565859837710479,0.23823529411764705,0.17912443020795962
mean_accuracy,-0.049999999999999996,1.0,0.10743196433120998,-0.0588235294117647,0.16569009794236264
social_index,0.09565859837710478,0.10743196433120998,1.0,0.1398087207049993,0.04481407119837632
spatial_index,0.23823529411764705,-0.0588235294117647,0.1398087207049993,1.0,0.523938958358282
dominance_index,0.17912443020795962,0.16569009794236264,0.04481407119837632,0.523938958358282,1.0
